track id,track name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
3fH4KjXFYMmljxrcGrbPj9,Don't You (Forget About Me),Simple Minds,0.66,0.816,2.0,-6.61,1.0,0.0299,0.168,0.0181,0.0608,0.678,111.346
4RvWPyQ5RL0ao9LPZeSouE,Everybody Wants To Rule The World,Tears For Fears,0.645,0.795,7.0,-12.095,1.0,0.0527,0.347,0.00389,0.104,0.535,112.067
58E1XVmZTODC67YNjneuXM,Tainted Love,Soft Cell,0.542,0.45,7.0,-9.931,0.0,0.0361,0.558,6.43e-06,0.579,0.626,144.437
2HuHopKnnuGQEpGb0CssCs,Hungry Like the Wolf,Duran Duran,0.654,0.903,0.0,-5.252,1.0,0.0798,0.0222,0.0,0.241,0.607,129.442
1QbQL5m30YNvukitIqAnFG,Sunglasses At Night,Corey Hart,0.686,0.609,10.0,-11.469,0.0,0.0444,0.258,0.00015,0.113,0.719,127.736
0HEmnAUT8PHznIAAmVXqFJ,Faith - Remastered,George Michael,0.887,0.48,11.0,-11.994,1.0,0.117,0.0094,3.58e-05,0.0662,0.607,95.846
5dRQUolXAVX3BbCiIxmSsf,Your Love,The Outfield,0.555,0.757,1.0,-7.868,0.0,0.0601,0.103,1.16e-06,0.0631,0.582,129.607
3L7RtEcu1Hw3OXrpnthngx,Don't You Want Me,The Human League,0.731,0.738,9.0,-8.125,0.0,0.0377,0.184,0.0,0.214,0.958,117.656
4v2rkl1mC3zVAz0nXMx9r4,Heart Of Glass,Blondie,0.77,0.654,4.0,-6.108,1.0,0.0361,0.0539,0.00047,0.0819,0.685,114.82
6J2rMSRhgb4HuX6dWgM3nJ,I Melt with You,Modern English,0.541,0.81,0.0,-11.745,1.0,0.0367,0.000975,0.00158,0.0681,0.647,155.582
756CJtQRFSxEx9jV4P9hpA,I Believe in a Thing Called Love,The Darkness,0.442,0.846,4.0,-5.214,1.0,0.0764,0.0538,4.71e-06,0.282,0.622,128.235
252YuUdUaC5OojaBU0H1CP,Come A Little Bit Closer,Jay & The Americans,0.636,0.684,3.0,-9.302,1.0,0.057,0.52,0.0015,0.534,0.881,132.509
2BY7ALEWdloFHgQZG6VMLA,Brandy (You're a Fine Girl),Looking Glass,0.716,0.625,1.0,-11.369,0.0,0.0601,0.396,1.97e-05,0.134,0.826,125.276
66gG8RzSA2sVQwME8e43wX,Fox On The Run,Sweet,0.523,0.762,4.0,-8.669,1.0,0.0346,0.0308,0.0,0.0675,0.881,128.064
4ZoBC5MhSEzuknIgAkBaoT,My Life,Billy Joel,0.741,0.647,2.0,-12.878,1.0,0.0427,0.108,0.00139,0.0555,0.804,131.097
7BvuV4c1BGhaRapcXvRu5z,You Might Think,The Cars,0.71,0.774,2.0,-9.335,1.0,0.0333,0.141,0.0136,0.0348,0.966,133.924
48O0GrGJWml3DzHhC5sJ7a,Karma Chameleon,Culture Club,0.676,0.577,10.0,-12.031,1.0,0.0365,0.186,0.0,0.148,0.934,91.98
3tSi6iFO9yLGIYIqMEgjC9,I Want You Back,The Jackson 5,0.67,0.584,8.0,-8.325,1.0,0.034,0.439,0.00614,0.178,0.944,98.185
6dGnYIeXmHdcikdzNNDMm2,Here Comes The Sun - Remastered 2009,The Beatles,0.557,0.54,9.0,-10.484,1.0,0.0347,0.0339,0.00248,0.179,0.394,129.171
7HX9f8AMBl0vQxAoAzLqhS,You Make My Dreams (Come True) - Remastered,Daryl Hall & John Oates,0.749,0.484,5.0,-9.944,1.0,0.0484,0.13,0.137,0.0486,0.939,167.084
3ZZq9396zv8pcn5GYVhxUi,Down Under,Men At Work,0.739,0.459,11.0,-14.42,0.0,0.0294,0.129,0.0194,0.0474,0.892,107.115
6hs3SDnbO3f6VQuPO4KBEb,Send Me on My Way,Rusted Root,0.5,0.681,0.0,-9.556,1.0,0.0672,0.114,4.01e-05,0.139,0.745,119.46
28wGX1hoLCRbBZbEqITvE3,Ain't No Mountain High Enough - Stereo Version,Marvin Gaye,0.677,0.693,11.0,-7.561,0.0,0.0343,0.437,0.0,0.405,0.755,130.013
6t6oULCRS6hnI7rm0h5gwl,Some Nights,fun.,0.672,0.738,0.0,-7.045,1.0,0.0506,0.0178,6.75e-05,0.0927,0.392,107.938
4TBBPZks71c60whhq0PgdP,(Your Love Keeps Lifting Me) Higher & Higher,Jackie Wilson,0.631,0.69,2.0,-6.676,1.0,0.0531,0.176,0.0,0.121,0.938,94.574
05wIrZSwuaVWhcv5FfqeH0,Walking On Sunshine,Katrina & The Waves,0.596,0.869,10.0,-11.97,1.0,0.037,0.0116,0.173,0.0678,0.944,109.902
7ePFDzrnLt3Ynqgy2UFWri,"December, 1963 (Oh What a Night!)",Frankie Valli & The Four Seasons,0.727,0.588,1.0,-9.568,1.0,0.0253,0.058,5.46e-06,0.0414,0.964,104.413
6ZapsNk1ZpaebNXAIohP9R,Home,Edward Sharpe & The Magnetic Zeros,0.542,0.589,2.0,-6.623,1.0,0.0318,0.292,0.000522,0.177,0.137,111.665
5E3P9e1hvjyIOlFyqNB5eD,Rich Girl - Remastered,Daryl Hall & John Oates,0.597,0.643,5.0,-6.303,1.0,0.134,0.5,0.0,0.0435,0.823,167.963
2374M0fQpWi3dLnB54qaLX,Africa,TOTO,0.671,0.373,9.0,-18.064,1.0,0.0323,0.257,7.95e-05,0.0481,0.732,92.717
4dwrL3Z5U2RZ6MZiKE2PgL,Superstition,Stevie Wonder,0.648,0.751,8.0,-8.582,1.0,0.0806,0.0182,0.000401,0.0418,0.863,100.437
7b4yGtR0rujvLi5EBfKKJ2,Take Me Home Tonight,Eddie Money,0.608,0.768,1.0,-9.911,1.0,0.0364,0.101,1.41e-06,0.0942,0.748,132.699
2nGFzvICaeEWjIrBrL2RAx,Put Your Records On,Corinne Bailey Rae,0.739,0.511,9.0,-7.844,1.0,0.0362,0.167,1.34e-06,0.133,0.542,96.038
0Y2SrByf4G3kbq2nBEHQRn,Spirit in the Sky,Norman Greenbaum,0.601,0.643,2.0,-5.828,1.0,0.0314,0.112,0.00209,0.088,0.552,128.262
0iOZM63lendWRTTeKhZBSC,"Mrs. Robinson - From ""The Graduate"" Soundtrack",Simon & Garfunkel,0.606,0.457,6.0,-14.035,0.0,0.0497,0.713,2.53e-05,0.0747,0.813,92.033
7GVUmCP00eSsqc4tzj1sDD,Come and Get Your Love - Single Version,Redbone,0.731,0.804,11.0,-7.621,0.0,0.0473,0.172,0.00028,0.0685,0.957,107.383
4YUlGNZfYA6EUE5KDsGqpC,You Can't Hurry Love,Phil Collins,0.639,0.923,7.0,-5.708,1.0,0.032,0.0674,0.0,0.0879,0.761,97.874
0PDCewmZCp0P5s00bptcdd,This Will Be (An Everlasting Love),Natalie Cole,0.685,0.623,8.0,-11.146,1.0,0.042,0.228,0.00234,0.0295,0.896,126.739
1aj4GXfmEYXfdVZohCpNKu,Stand by Me,Otis Redding,0.883,0.464,10.0,-11.251,1.0,0.0591,0.279,1.51e-05,0.0744,0.925,111.548
11IzgLRXV7Cgek3tEgGgjw,Under Pressure - Remastered,Queen,0.671,0.711,2.0,-7.813,1.0,0.0478,0.422,0.0,0.104,0.466,113.809
5uzNa0SBGOe5pPnstWHMCt,Come On Eileen,Dexys Midnight Runners,0.466,0.615,0.0,-9.102,1.0,0.0492,0.413,0.0,0.343,0.812,108.016
69Qa7czzqraPWZgxpQN405,You Can't Hurry Love,The Supremes,0.617,0.81,10.0,-6.513,1.0,0.0798,0.762,0.0,0.134,0.65,97.389
2jg4Yc8071puvDRYi22B3a,"Signed, Sealed, Delivered (I'm Yours)",Stevie Wonder,0.646,0.784,5.0,-6.137,1.0,0.0334,0.00495,0.0,0.061,0.819,108.84
3LmpQiFNgFCnvAnhhvKUyI,Stayin' Alive - Remastered Version,Bee Gees,0.675,0.899,10.0,-6.124,0.0,0.0418,0.0696,0.000139,0.33,0.91,103.683
1EzrEOXmMH3G43AXT1y7pA,I'm Yours,Jason Mraz,0.686,0.457,11.0,-8.322,1.0,0.0468,0.595,0.0,0.105,0.718,150.953
3aSWQJcWnnqgwYbAgidvlV,"I Can't Help Myself (Sugar Pie, Honey Bunch)",Four Tops,0.686,0.714,0.0,-4.809,1.0,0.0287,0.204,0.0,0.0592,0.964,126.736
6jWkZvd1URGktyTTwcpPpB,My Girl,The Temptations,0.579,0.419,0.0,-10.72,1.0,0.0346,0.625,0.0,0.0981,0.673,104.564
5YbgcwHjQhdT1BYQ4rxWlD,Don't Worry Be Happy,Bobby McFerrin,0.681,0.163,11.0,-22.597,1.0,0.165,0.881,7.62e-05,0.0688,0.771,69.283
7hQJA50XrCWABAu5v6QZ4i,Don't Stop Me Now - 2011 Mix,Queen,0.563,0.865,5.0,-5.277,1.0,0.16,0.0472,0.000191,0.77,0.601,156.271
3298yRJKPcCndQdNiTZKIo,Sweet Caroline,Neil Diamond,0.538,0.127,11.0,-16.057,1.0,0.0284,0.589,0.00017,0.238,0.527,62.829
6NdcSEhpGGAYXNnnhGS2s6,What I Like About You,The Romantics,0.542,0.915,9.0,-9.637,1.0,0.0549,0.319,5.34e-05,0.171,0.92,159.81
4xh7W7tlNMIczFhupCPniY,Go Your Own Way - 2004 Remaster,Fleetwood Mac,0.586,0.941,5.0,-5.139,1.0,0.0375,0.0167,0.000776,0.068,0.831,135.448
3cfOd4CMv2snFaKAnMdnvK,All Star,Smash Mouth,0.731,0.867,11.0,-5.881,1.0,0.032,0.0395,0.0,0.0861,0.776,104.019
0TF3F5Lw5apoD1zvR8LikO,Jessie's Girl,Rick Springfield,0.688,0.706,2.0,-7.925,1.0,0.042,0.0752,0.0,0.0924,0.842,131.705
4JGKZS7h4Qa16gOU3oNETV,Dreams,The Cranberries,0.551,0.643,4.0,-13.091,1.0,0.0353,0.00313,0.00385,0.421,0.514,128.661
0qxYx4F3vm1AOnfux6dDxP,You Can Call Me Al,Paul Simon,0.776,0.763,5.0,-8.124,1.0,0.0535,0.182,0.0065,0.077,0.82,128.433
5DiXcVovI0FcY2s0icWWUu,Mr. Jones,Counting Crows,0.578,0.817,0.0,-6.542,1.0,0.0363,0.183,3.06e-06,0.285,0.726,141.621
6UBjSnyP1O5W5ndJoO9vUk,Night Moves,Bob Seger,0.705,0.743,1.0,-6.631,1.0,0.042,0.432,0.0133,0.103,0.374,118.552
1b7LMtXCXGc2EwOIplI35z,Stuck In The Middle With You,Stealers Wheel,0.795,0.564,7.0,-10.482,1.0,0.0392,0.0934,0.000531,0.0631,0.961,124.166
4ePP9So5xRzspjLFVVbj90,Two Princes,Spin Doctors,0.543,0.912,7.0,-10.71,1.0,0.0601,0.00162,2.1e-06,0.0565,0.836,103.731
77NNZQSqzLNqh2A9JhLRkg,Don't Stop Believin',Journey,0.491,0.802,4.0,-7.106,1.0,0.0392,0.25,0.0,0.387,0.472,119.25
